keyword,sentiment,sw,,,,,,,,,,
bluntly,Negetive,-0.810344828,,,,,,,,,,
book elsewhere,Negetive,-0.87654321,,,,,,,,,,
borderline,Negetive,-0.824324324,,,,,,,,,,
bothered,Negetive,-0.637525219,,,,,,,,,,
bravo,Positive,0.837398374,,,,,,,,,,
breach,Negetive,-0.869918699,,,,,,,,,,
breakfast delicious,Positive,0.873684211,,,,,,,,,,
breakfast excellent,Positive,0.62,,,,,,,,,,
breakfast great,Positive,0.525423729,,,,,,,,,,
breakfast lovely,Positive,0.577777778,,,,,,,,,,
breakfast poor,Negetive,-0.852631579,,,,,,,,,,
breath taking,Positive,0.636363636,,,,,,,,,,
breathtaking,Positive,0.668421053,,,,,,,,,,
brilliant,Positive,0.566140118,,,,,,,,,,
brilliant !,Positive,0.595687332,,,,,,,,,,
brilliant hotel,Positive,0.918552036,,,,,,,,,,
brilliant location,Positive,0.497512438,,,,,,,,,,
brilliant service,Positive,0.77443609,,,,,,,,,,
brilliant staff,Positive,0.848484848,,,,,,,,,,
brilliant stay,Positive,0.938650307,,,,,,,,,,
brilliant value,Positive,0.708737864,,,,,,,,,,
brilliantly,Positive,0.527186761,,,,,,,,,,
brilliantly located,Positive,0.412698413,,,,,,,,,,
broken,Negetive,-0.880526316,,,,,,,,,,
broken !,Negetive,-0.884615385,,,,,,,,,,
broken bed,Negetive,-0.917525773,,,,,,,,,,
broken english,Negetive,-0.950413223,,,,,,,,,,
broken furniture,Negetive,-0.97752809,,,,,,,,,,
broken glass,Negetive,-0.925233645,,,,,,,,,,
broken shower,Negetive,-0.941176471,,,,,,,,,,
broken tiles,Negetive,-0.951807229,,,,,,,,,,
broken toilet,Negetive,-0.890243902,,,,,,,,,,
broken window,Negetive,-0.936170213,,,,,,,,,,
brown stains,Negetive,-0.958041958,,,,,,,,,,
bruised,Negetive,-0.744186047,,,,,,,,,,
brusque,Negetive,-0.702702703,,,,,,,,,,
bug,Negetive,-0.77893368,,,,,,,,,,
bug bites,Negetive,-0.987179487,,,,,,,,,,
bugs,Negetive,-0.924528302,,,,,,,,,,
bugs !,Negetive,-0.925233645,,,,,,,,,,
burnt,Negetive,-0.783783784,,,,,,,,,,
buzzed,Negetive,-0.652173913,,,,,,,,,,
buzzing noise,Negetive,-0.777777778,,,,,,,,,,
calm,Positive,0.426648721,,,,,,,,,,
calming,Positive,0.687861272,,,,,,,,,,
care less,Negetive,-0.895561358,,,,,,,,,,
cared less,Negetive,-0.943925234,,,,,,,,,,
careless,Negetive,-0.928571429,,,,,,,,,,
certainly book,Positive,0.85840708,,,,,,,,,,
certainly come,Positive,0.842857143,,,,,,,,,,
certainly negtag_worth,Negetive,-0.935135135,,,,,,,,,,
certainly recommend,Positive,0.860026918,,,,,,,,,,
certainly return,Positive,0.88973384,,,,,,,,,,
certainly stay,Positive,0.808297568,,,,,,,,,,
certainly worth,Positive,0.495327103,,,,,,,,,,
charged twice,Negetive,-0.83255814,,,,,,,,,,
charming,Positive,0.472067779,,,,,,,,,,
charming hotel,Positive,0.614173228,,,,,,,,,,
charming staff,Positive,0.659574468,,,,,,,,,,
cheap plastic,Negetive,-0.777777778,,,,,,,,,,
cheated,Negetive,-0.856115108,,,,,,,,,,
cheerfully,Positive,0.36416185,,,,,,,,,,
chewy,Negetive,-0.69047619,,,,,,,,,,
chipped,Negetive,-0.884780739,,,,,,,,,,
chipped paint,Negetive,-0.85840708,,,,,,,,,,
cigarette burns,Negetive,-0.972789116,,,,,,,,,,
cigarette butts,Negetive,-0.883870968,,,,,,,,,,
cigarette smoke,Negetive,-0.868725869,,,,,,,,,,
citytag emojipos,Positive,0.744186047,,,,,,,,,,
clanging,Negetive,-0.734939759,,,,,,,,,,
classy,Positive,0.447069116,,,,,,,,,,
classy hotel,Positive,0.465517241,,,,,,,,,,
claustrophobia,Negetive,-0.736842105,,,,,,,,,,
claustrophobic,Negetive,-0.648080439,,,,,,,,,,
clean comfortable,Positive,0.524444444,,,,,,,,,,
clean comfy,Positive,0.516483516,,,,,,,,,,
clean facilities,Positive,0.306930693,,,,,,,,,,
clean hotel,Positive,0.304632153,,,,,,,,,,
clean modern,Positive,0.529411765,,,,,,,,,,
clean quiet,Positive,0.525,,,,,,,,,,
clean spacious,Positive,0.634146341,,,,,,,,,,
clean throughout,Positive,0.54679803,,,,,,,,,,
clean tidy,Positive,0.409090909,,,,,,,,,,
clean well,Positive,0.502487562,,,,,,,,,,
cleverly designed,Positive,0.663551402,,,,,,,,,,
clogged,Negetive,-0.837471783,,,,,,,,,,
clueless,Negetive,-0.833333333,,,,,,,,,,
cobwebs,Negetive,-0.870967742,,,,,,,,,,
cockroach,Negetive,-0.931034483,,,,,,,,,,
cold even,Negetive,-0.813953488,,,,,,,,,,
cold room,Negetive,-0.809187279,,,,,,,,,,
cold shower,Negetive,-0.821325648,,,,,,,,,,
cold showers,Negetive,-0.84516129,,,,,,,,,,
cold tap,Negetive,-0.847222222,,,,,,,,,,
cold toast,Negetive,-0.894736842,,,,,,,,,,
collapse,Negetive,-0.804878049,,,,,,,,,,
collapsed,Negetive,-0.788944724,,,,,,,,,,
comfiest,Positive,0.73015873,,,,,,,,,,
comfiest bed,Positive,0.906976744,,,,,,,,,,
complained,Negetive,-0.838848921,,,,,,,,,,
complained next,Negetive,-0.896907216,,,,,,,,,,
complaining,Negetive,-0.784208646,,,,,,,,,,
complementary,Positive,0.3165548098434,,,,,,,,,  ,
complementary bottle,Positive,0.494505495,,,,,,,,,,
complete lack,Negetive,-0.912621359,,,,,,,,,,
complete rip,Negetive,-0.84,,,,,,,,,,
complete waste,Negetive,-0.923076923,,,,,,,,,,
completely ignored,Negetive,-0.948717949,,,,,,,,,,
completely ruined,Negetive,-0.949367089,,,,,,,,,,
completely unacceptable,Negetive,-0.989071038,,,,,,,,,,
complimentary glass,Positive,0.5875,,,,,,,,,,
complimentary items,Positive,0.30952381,,,,,,,,,,
complimentary room,Positive,0.351851852,,,,,,,,,,
complimentary snacks,Positive,0.754716981,,,,,,,,,,
complimentary soft,Positive,0.746987952,,,,,,,,,,
complimentary upgrade,Positive,0.366990291,,,,,,,,,,
complimented,Positive,0.63302752293578,,,,,,,,,  ,
condemned,Negetive,-0.934782609,,,,,,,,,,
condescending,Negetive,-0.86770428,,,,,,,,,,
confronted,Negetive,-0.834757835,,,,,,,,,,
congratulate,Positive,0.638095238,,,,,,,,,,
congratulated,Positive,0.72173913,,,,,,,,,,
congratulations,Positive,0.649681529,,,,,,,,,,
consistently good,Positive,0.630769231,,,,,,,,,,
constant banging,Negetive,-0.860465116,,,,,,,,,,
constant noise,Negetive,-0.82369146,,,,,,,,,,
constant traffic,Negetive,-0.692307692,,,,,,,,,,
contemporary design,Positive,0.481481481,,,,,,,,,,
contemporary hotel,Positive,0.505617978,,,,,,,,,,
contemporary style,Positive,0.471264368,,,,,,,,,,
cooked fresh,Positive,0.413793103,,,,,,,,,,
cool hotel,Positive,0.523809524,,,,,,,,,,
cosy,Positive,0.480612245,,,,,,,,,,
cosy room,Positive,0.467532468,,,,,,,,,,
coughing,Negetive,-0.798994975,,,,,,,,,,
could barely,Negetive,-0.817805383,,,,,,,,,,
could hardly,Negetive,-0.744416873,,,,,,,,,,
could negtag_change,Negetive,-0.878787879,,,,,,,,,,
could negtag_check,Negetive,-0.704545455,,,,,,,,,,
could negtag_cope,Negetive,-0.827160494,,,,,,,,,,
could negtag_even,Negetive,-0.87027027,,,,,,,,,,
could negtag_fit,Negetive,-0.681415929,,,,,,,,,,
could negtag_fix,Negetive,-0.816091954,,,,,,,,,,
could negtag_move,Negetive,-0.849710983,,,,,,,,,,
could negtag_open,Negetive,-0.8,,,,,,,,,,
could negtag_sleep,Negetive,-0.893223819,,,,,,,,,,
could negtag_speak,Negetive,-0.798165138,,,,,,,,,,
could negtag_stand,Negetive,-0.860465116,,,,,,,,,,
could negtag_stay,Negetive,-0.841004184,,,,,,,,,,
could negtag_understand,Negetive,-0.867403315,,,,,,,,,,
could negtag_use,Negetive,-0.78030303,,,,,,,,,,
courteous,Positive,0.446808511,,,,,,,,,,
courteous staff,Positive,0.605333333,,,,,,,,,,
courteously,Positive,0.327272727,,,,,,,,,,
cozy,Positive,0.583764425,,,,,,,,,,
